region,country,item_type,sales_channel,order_priority,order_date,order_id,ship_date,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,C,2012-06-01,SYN000994,2012-06-29,3871,107.84,35.63,417448.64,116421.98,258513.08
North America,Mexico,Personal Care,Offline,M,2015-07-23,SYN000995,2015-08-07,5962,83.77,57.31,499436.74,329160.75,128661.53
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,2014-07-30,SYN000996,2014-08-15,3968,112.9,35.48,447987.2,143305.4,300869.5
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,2012-06-11,SYN000997,2012-07-19,2111,652.43,513.34,1377279.73,996698.71,249309.27
Asia,Mongolia,Personal Care,Offline,C,2014-02-14,SYN000998,2014-02-28,5164,90.87,54.59,469252.68000000005,270701.04,118808.08
Europe,Slovenia,Beverages,Offline,C,2016-10-21,SYN000999,2016-11-18,4774,47.91,31.67,228722.34,139268.15,68974.53
Sub-Saharan Africa,The Gambia,Household,Offline,L,2012-05-19,SYN001000,2012-06-02,2358,669.97,560.78,1579789.26,1229327.03,377739.26
Europe,Macedonia,Clothes,Offline,C,2014-10-15,SYN001001,2014-11-07,7159,104.64,37.18,749117.76,272427.99,582372.95
Asia,Sri Lanka,Cosmetics,Offline,M,2016-11-13,SYN001002,2016-12-24,7026,444.05,270.81,3119895.3000000003,1783412.64,1196302.95
Asia,Laos,Vegetables,Offline,C,2011-09-17,SYN001003,2011-10-30,3616,148.5,87.66,536976.0,319978.78,244976.63
Europe,France,Cosmetics,Online,H,2017-05-16,SYN001004,2017-06-09,1770,427.69,267.46,757011.3,499705.21,282762.46
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,H,2014-04-03,SYN001005,2014-04-25,7369,392.19,264.47,2890048.11,1786483.89,1250357.6
Australia and Oceania,Tuvalu,Baby Food,Offline,H,2010-05-29,SYN001006,2010-07-04,10356,264.27,159.31,2736780.1199999996,1577567.6,942930.42
Australia and Oceania,Samoa,Cosmetics,Online,H,2013-07-26,SYN001007,2013-08-06,8950,418.8,256.85,3748260.0,2625915.61,1731226.97
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,2015-07-15,SYN001008,2015-08-20,5758,82.55,58.53,475322.89999999997,360480.24,134453.23
Sub-Saharan Africa,The Gambia,Household,Offline,L,2012-05-22,SYN001009,2012-06-16,2323,694.46,523.72,1613230.58,1314898.09,356205.4
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,M,2011-11-25,SYN001010,2012-01-07,3577,636.09,500.32,2275293.93,1802939.74,441079.32
Australia and Oceania,Tuvalu,Baby Food,Offline,H,2010-05-27,SYN001011,2010-06-23,9528,257.87,156.11,2456985.36,1666745.98,977050.28
Europe,Macedonia,Clothes,Offline,C,2014-10-19,SYN001012,2014-11-07,7874,116.96,31.22,920943.0399999999,260622.29,582897.02
Europe,Monaco,Baby Food,Offline,H,2012-05-26,SYN001013,2012-05-26,8247,274.77,162.36,2266028.19,1428694.52,842056.39
Middle East and North Africa,Pakistan,Cosmetics,Offline,L,2013-07-03,SYN001014,2013-08-20,9534,436.48,257.12,4161400.3200000003,2309478.66,1749388.95
Europe,Switzerland,Personal Care,Online,M,2010-12-29,SYN001015,2011-01-29,270,81.34,50.45,21961.8,15493.44,7680.49
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Offline,C,2011-01-16,SYN001016,2011-01-24,8923,44.87,30.38,400375.00999999995,307648.34,132547.09
Sub-Saharan Africa,Cameroon,Beverages,Offline,C,2015-04-03,SYN001017,2015-04-19,5680,49.52,31.63,281273.60000000003,174992.69,79619.18
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,2014-07-30,SYN001018,2014-08-13,3706,107.41,38.47,398061.45999999996,142471.55,306005.0
Australia and Oceania,Australia,Beverages,Offline,H,2014-07-01,SYN001019,2014-07-08,10088,48.12,31.24,485434.56,275460.19,137786.89
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,C,2014-06-24,SYN001020,2014-06-30,8625,9.21,7.04,79436.25000000001,61013.49,20353.28
Australia and Oceania,Samoa,Cosmetics,Online,H,2013-07-25,SYN001021,2013-08-10,10462,432.02,258.65,4519793.24,2485899.34,1734893.28
Sub-Saharan Africa,Cameroon,Beverages,Offline,C,2015-03-31,SYN001022,2015-04-14,5505,47.18,33.36,259725.9,167208.01,84412.81
Sub-Saharan Africa,Djibouti,Cereal,Online,H,2017-05-23,SYN001023,2017-06-15,8180,177.34,121.54,1450641.2,1059870.73,792156.45
Europe,France,Cosmetics,Online,H,2017-05-21,SYN001024,2017-06-06,1981,451.98,258.7,895372.38,451937.45,275699.12
Central America and the Caribbean,Haiti,Cosmetics,Offline,H,2013-10-07,SYN001025,2013-11-17,1786,446.75,259.75,797895.5,431511.92,278863.5
Central America and the Caribbean,Honduras,Household,Offline,H,2017-02-12,SYN001026,2017-02-20,8644,634.01,498.42,5480382.4399999995,4438256.39,1418777.01
Australia and Oceania,Australia,Cereal,Offline,H,2013-06-03,SYN001027,2013-07-03,674,211.43,121.67,142503.82,77613.47,61951.06
Europe,Austria,Cosmetics,Offline,H,2015-02-23,SYN001028,2015-02-25,2704,437.24,234.24,1182296.96,746353.34,488156.79
Europe,United Kingdom,Household,Online,L,2012-01-06,SYN001029,2012-02-12,289,650.66,481.02,188040.74,139300.24,48890.47
Asia,Sri Lanka,Cosmetics,Offline,M,2016-11-18,SYN001030,2016-12-15,7338,418.53,256.3,3071173.1399999997,1865330.02,1306807.48
Europe,Macedonia,Clothes,Offline,C,2014-10-08,SYN001031,2014-11-16,7463,113.14,36.23,844363.82,262618.67,542360.12
Central America and the Caribbean,Haiti,Cosmetics,Offline,H,2013-10-11,SYN001032,2013-11-22,1663,450.55,282.62,749264.65,449054.2,289627.66
Sub-Saharan Africa,The Gambia,Household,Offline,L,2012-05-26,SYN001033,2012-06-05,2351,655.87,533.17,1541950.37,1126295.57,352228.09
Asia,Myanmar,Clothes,Online,H,2015-11-14,SYN001034,2015-11-23,5340,114.17,37.29,609667.8,220635.41,450086.31
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,2013-03-18,SYN001035,2013-03-28,4099,209.79,115.81,859929.21,418582.73,373304.7
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,2012-06-20,SYN001036,2012-07-17,2204,606.12,529.89,1335888.48,980450.13,271025.96
Asia,Turkmenistan,Office Supplies,Online,M,2013-04-22,SYN001037,2013-05-25,5197,591.43,496.19,3073661.71,2567273.99,565422.23
Sub-Saharan Africa,Mozambique,Household,Offline,L,2012-02-10,SYN001038,2012-02-11,5322,655.24,509.82,3487187.2800000003,2515240.1,885335.8
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,H,2013-09-13,SYN001039,2013-10-21,7487,9.4,7.94,70377.8,51932.66,17467.64
Europe,San Marino,Baby Food,Online,L,2013-06-26,SYN001040,2013-06-26,4717,251.95,165.93,1188448.15,779895.0,458742.0
Sub-Saharan Africa,The Gambia,Household,Offline,L,2012-05-26,SYN001041,2012-06-06,2179,719.16,442.61,1567049.64,1126424.92,396384.7
Europe,Iceland,Cosmetics,Online,C,2017-01-03,SYN001042,2016-12-31,9044,456.7,279.54,4130394.8,2247596.46,1553175.21
Australia and Oceania,Federated States of Micronesia,Beverages,Online,C,2014-11-04,SYN001043,2014-11-22,9559,51.13,30.64,488751.67000000004,279004.9,162327.77
Australia and Oceania,East Timor,Meat,Online,L,2012-08-06,SYN001044,2012-09-12,5574,415.96,351.21,2318561.04,2027828.95,354347.87
Sub-Saharan Africa,The Gambia,Baby Food,Offline,M,2014-01-28,SYN001045,2014-03-16,5748,265.24,166.84,1524599.52,844023.63,504724.38
Asia,Brunei,Office Supplies,Online,L,2012-04-08,SYN001046,2012-05-09,7141,678.67,497.89,4846382.47,3511382.96,864238.0
Europe,Spain,Household,Offline,L,2012-10-24,SYN001047,2012-11-24,4476,664.5,468.35,2974302.0,2256406.02,788543.09
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,2012-07-12,SYN001048,2012-07-25,8289,155.62,94.48,1289934.18,742021.35,503937.98
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,2013-01-30,SYN001049,2013-02-12,5341,665.6,494.03,3554969.6,2607409.08,642801.9
Australia and Oceania,Samoa,Cosmetics,Online,H,2013-07-25,SYN001050,2013-08-02,10123,440.92,248.19,4463433.16,2851388.51,1848918.22
North America,Mexico,Personal Care,Offline,M,2015-08-06,SYN001051,2015-08-08,6067,87.44,52.74,530498.48,323403.9,144821.71
Sub-Saharan Africa,Mauritania,Office Supplies,Offline,C,2012-01-14,SYN001052,2012-01-09,1178,652.28,479.55,768385.84,703341.09,166104.95
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,2013-03-25,SYN001053,2013-03-24,4341,199.46,111.79,865855.86,492193.34,371862.36
Europe,Portugal,Baby Food,Online,H,2015-07-30,SYN001054,2015-08-27,1308,246.01,153.94,321781.08,207898.46,127652.43
North America,Mexico,Personal Care,Offline,M,2015-07-28,SYN001055,2015-08-15,6300,76.31,62.14,480753.0,332157.85,146738.78
Sub-Saharan Africa,Sierra Leone,Vegetables,Offline,C,2016-06-04,SYN001056,2016-07-05,1424,150.6,92.78,214454.4,141009.16,86997.49
Sub-Saharan Africa,Gabon,Personal Care,Offline,L,2012-07-04,SYN001057,2012-07-13,9063,81.84,53.75,741715.92,461322.98,235959.62
Middle East and North Africa,Azerbaijan,Cosmetics,Online,M,2010-02-01,SYN001058,2010-02-26,7228,429.72,255.4,3106016.16,1935105.77,1339466.25
Sub-Saharan Africa,Madagascar,Clothes,Offline,L,2015-04-29,SYN001059,2015-06-03,7474,115.55,37.32,863620.7,258907.53,543239.02
Australia and Oceania,Federated States of Micronesia,Beverages,Online,C,2014-10-30,SYN001060,2014-11-14,9963,47.18,28.79,470054.34,285510.35,153600.5
Australia and Oceania,East Timor,Meat,Online,L,2012-08-03,SYN001061,2012-09-15,5708,423.4,362.97,2416767.1999999997,2317682.78,319937.71
Australia and Oceania,Samoa,Cosmetics,Online,H,2013-07-20,SYN001062,2013-08-14,8822,441.89,262.33,3898353.58,2305877.71,1679081.86
Sub-Saharan Africa,Kenya,Vegetables,Online,L,2012-03-20,SYN001063,2012-04-14,6599,147.67,92.96,974474.33,520066.1,413881.71
Sub-Saharan Africa,Mali,Fruits,Online,L,2010-05-09,SYN001064,2010-05-10,6093,9.67,6.91,58919.31,38612.8,13041.23
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,2013-01-28,SYN001065,2013-02-06,4885,670.97,547.28,3277688.45,2715592.19,659043.76
Asia,Laos,Vegetables,Offline,C,2011-09-21,SYN001066,2011-10-21,3803,146.64,90.45,557671.9199999999,318695.86,252929.75
Middle East and North Africa,Libya,Fruits,Online,L,2015-08-18,SYN001067,2015-09-26,674,8.9,6.73,5998.6,4867.1,1672.56
Australia and Oceania,Tuvalu,Baby Food,Offline,H,2010-05-21,SYN001068,2010-06-20,10341,246.9,174.0,2553192.9,1398878.64,923541.13
Sub-Saharan Africa,Cameroon,Beverages,Offline,C,2015-03-28,SYN001069,2015-04-18,5897,47.35,31.79,279222.95,182721.93,76296.34
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Offline,C,2011-01-18,SYN001070,2011-01-17,8253,47.2,31.26,389541.60000000003,322163.11,127306.53
Sub-Saharan Africa,Kenya,Vegetables,Online,L,2012-03-21,SYN001071,2012-04-01,6866,152.66,88.03,1048163.5599999999,576756.77,399672.15
Asia,Malaysia,Fruits,Offline,L,2011-11-12,SYN001072,2011-12-27,6112,9.63,6.52,58858.560000000005,42494.9,15664.31
Middle East and North Africa,Iran,Cosmetics,Online,H,2016-11-18,SYN001073,2016-12-05,6955,430.5,268.17,2994127.5,1714340.48,1175322.23
Sub-Saharan Africa,The Gambia,Baby Food,Offline,M,2014-02-01,SYN001074,2014-03-20,5795,258.33,155.72,1497022.3499999999,885384.92,547239.45
Sub-Saharan Africa,The Gambia,Baby Food,Offline,M,2014-01-30,SYN001075,2014-03-15,5534,268.92,168.07,1488203.28,878196.87,522429.7
Europe,Switzerland,Personal Care,Online,M,2010-12-24,SYN001076,2011-02-06,272,84.54,53.72,22994.88,17753.48,6182.87
Sub-Saharan Africa,Comoros,Cereal,Offline,H,2016-04-02,SYN001077,2016-04-29,905,207.62,122.73,187896.1,120846.49,87639.94
Europe,Albania,Clothes,Online,C,2010-02-02,SYN001078,2010-03-21,2284,104.0,36.48,237536.0,82163.34,173714.34
Sub-Saharan Africa,Niger,Personal Care,Online,H,2017-03-17,SYN001079,2017-03-28,3033,78.65,59.15,238545.45,173750.49,71063.61
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,2015-07-09,SYN001080,2015-08-21,6179,86.15,57.91,532320.8500000001,340668.21,151770.86
Asia,Malaysia,Fruits,Offline,L,2011-11-05,SYN001081,2012-01-02,6351,9.58,7.11,60842.58,46181.78,14929.09
Australia and Oceania,East Timor,Meat,Online,L,2012-08-07,SYN001082,2012-09-10,5981,406.31,370.72,2430140.11,2151293.85,353842.52
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,H,2014-04-11,SYN001083,2014-04-20,6861,441.73,254.71,3030709.5300000003,1974975.1,1168609.46
Australia and Oceania,Kiribati,Fruits,Online,M,2014-10-20,SYN001084,2014-11-08,5529,9.44,6.42,52193.759999999995,35940.14,12700.21
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,H,2016-11-29,SYN001085,2016-12-07,1009,668.47,513.81,674486.23,531925.79,122163.0
Sub-Saharan Africa,Lesotho,Fruits,Online,L,2013-08-14,SYN001086,2013-09-12,9210,9.45,6.67,87034.5,64403.23,22988.29
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,2013-03-27,SYN001087,2013-03-30,3785,193.73,119.63,733268.0499999999,456507.55,350433.71
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,2013-03-26,SYN001088,2013-03-24,4330,214.27,115.93,927789.1000000001,451789.78,367446.89
Middle East and North Africa,Lebanon,Clothes,Online,L,2012-09-11,SYN001089,2012-10-11,7805,106.65,35.93,832403.25,288489.14,620632.69
Sub-Saharan Africa,Cameroon,Beverages,Offline,C,2015-04-02,SYN001090,2015-04-21,5468,49.46,31.54,270447.28,177455.74,87680.89
Sub-Saharan Africa,Cameroon,Office Supplies,Online,M,2011-11-04,SYN001091,2011-11-14,5961,603.79,520.78,3599192.19,2730032.3,737966.85
Sub-Saharan Africa,Madagascar,Clothes,Offline,L,2015-04-26,SYN001092,2015-05-22,6796,116.32,34.94,790510.72,281707.09,504019.24
Asia,Kyrgyzstan,Vegetables,Online,H,2011-06-26,SYN001093,2011-07-16,125,149.14,88.86,18642.5,12345.41,8335.08
Middle East and North Africa,Libya,Clothes,Offline,H,2010-11-04,SYN001094,2010-11-10,6106,109.51,35.95,668668.06,221084.22,454377.69
Australia and Oceania,Kiribati,Fruits,Online,M,2014-10-12,SYN001095,2014-11-12,5712,10.3,6.38,58833.600000000006,34496.31,12396.93
Asia,Malaysia,Fruits,Offline,L,2011-11-09,SYN001096,2011-12-25,6217,9.09,6.86,56512.53,44993.82,14286.39
Asia,Kyrgyzstan,Vegetables,Online,H,2011-06-28,SYN001097,2011-07-05,119,150.62,87.67,17923.78,11070.64,7321.16
North America,Mexico,Personal Care,Offline,M,2015-08-04,SYN001098,2015-08-04,5970,87.04,56.05,519628.80000000005,342052.21,136045.07
Europe,Monaco,Baby Food,Offline,H,2012-06-04,SYN001099,2012-05-26,8765,262.11,164.08,2297394.15,1387279.69,779110.22
North America,Mexico,Household,Offline,C,2014-11-12,SYN001100,2014-12-13,6752,709.63,509.81,4791421.76,3314245.52,1100562.77
Europe,Switzerland,Personal Care,Online,M,2010-12-18,SYN001101,2011-01-31,279,73.36,53.87,20467.44,16634.19,6753.05
Asia,Myanmar,Household,Offline,H,2015-01-10,SYN001102,2015-03-03,7567,665.14,475.15,5033114.38,4595574.0,1407434.91
Europe,Austria,Cosmetics,Offline,H,2015-02-20,SYN001103,2015-03-09,2939,418.3,259.13,1229383.7,796456.55,497610.68
Europe,Norway,Beverages,Offline,C,2014-07-17,SYN001104,2014-07-29,5141,48.92,31.63,251497.72,151213.26,77187.09
Sub-Saharan Africa,Mali,Clothes,Online,M,2011-07-27,SYN001105,2011-09-10,857,103.93,36.73,89068.01000000001,31767.98,63470.01
Europe,Slovakia,Vegetables,Online,H,2012-10-02,SYN001106,2012-11-16,172,143.98,85.98,24764.559999999998,15004.6,10754.25
North America,Mexico,Household,Offline,C,2014-11-03,SYN001107,2014-12-19,6663,721.13,499.34,4804889.19,3524264.44,1185474.32
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,2014-07-26,SYN001108,2014-08-14,4464,103.94,35.09,463988.16,141439.06,312084.93
Sub-Saharan Africa,Niger,Personal Care,Online,H,2017-03-14,SYN001109,2017-03-30,2864,83.14,59.43,238112.96,184551.02,76453.56
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,C,2011-05-26,SYN001110,2011-07-09,5854,41.3,33.02,241770.19999999998,178338.33,91419.64
Central America and the Caribbean,Belize,Clothes,Offline,M,2016-07-25,SYN001111,2016-09-06,5206,109.79,32.99,571566.74,196029.01,397610.71
Sub-Saharan Africa,Niger,Personal Care,Online,H,2017-03-10,SYN001112,2017-04-01,2960,81.33,57.45,240736.8,167709.5,78376.27
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,C,2014-06-14,SYN001113,2014-07-04,8163,9.64,6.78,78691.32,54513.41,20222.22
Asia,Laos,Vegetables,Offline,C,2011-09-18,SYN001114,2011-10-30,3733,146.47,90.12,546772.51,351474.81,223570.73
Sub-Saharan Africa,Cameroon,Beverages,Offline,C,2015-04-06,SYN001115,2015-04-13,5388,46.5,27.56,250542.0,184610.59,84730.43
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Online,C,2014-06-14,SYN001116,2014-07-09,8063,9.52,7.14,76759.76,59379.28,19973.65
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,C,2012-06-04,SYN001117,2012-06-20,3745,109.38,33.67,409628.1,118579.82,258045.3
Europe,Spain,Household,Offline,L,2012-10-18,SYN001118,2012-11-27,4511,709.05,518.12,3198524.55,2261184.12,706347.88
Sub-Saharan Africa,Mauritania,Office Supplies,Offline,C,2012-01-05,SYN001119,2012-01-11,1281,603.81,530.33,773480.61,657665.72,153290.55
Sub-Saharan Africa,The Gambia,Meat,Online,M,2017-01-12,SYN001120,2017-01-25,4637,394.65,387.32,1829992.0499999998,1719229.84,279610.51
Middle East and North Africa,Lebanon,Clothes,Online,L,2012-09-14,SYN001121,2012-10-12,7595,108.94,34.2,827399.2999999999,291199.9,582604.42
Sub-Saharan Africa,Madagascar,Clothes,Offline,L,2015-04-26,SYN001122,2015-05-21,7043,108.04,35.4,760925.7200000001,258403.1,534379.56
Europe,Slovakia,Vegetables,Online,H,2012-10-07,SYN001123,2012-11-11,175,152.23,89.91,26640.25,15542.19,10733.78
Central America and the Caribbean,Grenada,Cereal,Online,C,2012-08-17,SYN001124,2012-09-22,2882,193.39,124.58,557349.98,315773.22,223093.48
Middle East and North Africa,Libya,Clothes,Offline,H,2010-11-05,SYN001125,2010-11-10,6669,112.95,35.1,753263.55,226051.93,442825.17
Middle East and North Africa,Lebanon,Clothes,Online,L,2012-09-24,SYN001126,2012-10-05,7680,103.32,36.07,793497.6,260557.83,591302.18
Sub-Saharan Africa,The Gambia,Cereal,Offline,H,2012-06-02,SYN001127,2012-06-06,2256,197.82,116.28,446281.92,254639.81,186978.97
Asia,Bangladesh,Clothes,Online,L,2017-01-15,SYN001128,2017-03-02,8087,104.53,36.44,845334.11,298898.86,609127.34
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,M,2011-12-01,SYN001129,2012-01-12,3471,645.08,490.54,2239072.68,1952054.48,448965.89
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,2015-07-11,SYN001130,2015-08-27,6101,85.79,56.72,523404.79000000004,331755.12,160509.7
Central America and the Caribbean,Honduras,Household,Offline,H,2017-02-09,SYN001131,2017-02-07,8664,647.68,480.54,5611499.52,4179618.54,1391289.98
North America,Mexico,Household,Offline,C,2014-11-01,SYN001132,2014-12-12,6322,599.46,462.91,3789786.12,3954735.99,1102131.21
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,L,2013-02-02,SYN001133,2013-02-12,5207,632.43,515.03,3293063.01,2683485.18,650649.7
Europe,Norway,Beverages,Offline,C,2014-07-16,SYN001134,2014-07-24,5412,52.74,31.38,285428.88,165862.46,78242.66
Middle East and North Africa,Libya,Fruits,Online,L,2015-08-20,SYN001135,2015-10-04,696,10.01,6.98,6966.96,4673.73,1604.45
Sub-Saharan Africa,Mali,Fruits,Online,L,2010-05-02,SYN001136,2010-05-14,5796,9.39,6.94,54424.44,38175.57,14149.96
Sub-Saharan Africa,Kenya,Vegetables,Online,L,2012-03-14,SYN001137,2012-04-06,6366,144.45,91.51,919568.7,566657.39,411003.31
Europe,France,Cosmetics,Online,H,2017-05-24,SYN001138,2017-06-09,1800,422.45,254.63,760410.0,483212.3,292692.13
Sub-Saharan Africa,Mali,Clothes,Online,M,2011-07-26,SYN001139,2011-09-01,924,105.03,38.16,97047.72,31368.82,64933.22
Europe,Norway,Baby Food,Online,L,2014-05-11,SYN001140,2014-07-02,7562,267.25,155.7,2020944.5,1169345.0,641768.0
Asia,Myanmar,Clothes,Online,H,2015-11-15,SYN001141,2015-11-24,5974,127.27,34.94,760310.98,217019.63,409051.0
Europe,France,Cosmetics,Online,H,2017-05-18,SYN001142,2017-06-05,1723,455.04,228.54,784033.92,461591.18,293821.21
Sub-Saharan Africa,Niger,Personal Care,Online,H,2017-03-06,SYN001143,2017-03-25,2939,87.06,53.35,255869.34,166700.66,72004.89
Middle East and North Africa,Libya,Fruits,Online,L,2015-08-17,SYN001144,2015-10-05,669,10.09,6.49,6750.21,4840.53,1707.48
North America,Mexico,Personal Care,Offline,M,2015-07-23,SYN001145,2015-08-02,5669,78.6,58.91,445583.39999999997,299258.16,157492.55
Sub-Saharan Africa,Kenya,Vegetables,Online,L,2012-03-24,SYN001146,2012-04-05,6904,150.3,95.27,1037671.2000000001,623964.99,427627.45
Europe,Bulgaria,Office Supplies,Online,M,2012-02-22,SYN001147,2012-03-03,4084,598.07,472.92,2442517.8800000004,2127621.16,493593.91
Middle East and North Africa,Azerbaijan,Cosmetics,Online,M,2010-01-30,SYN001148,2010-02-19,6596,430.66,259.62,2840633.3600000003,1915045.44,1296203.39
Europe,Monaco,Baby Food,Offline,H,2012-05-22,SYN001149,2012-05-30,8963,254.64,151.2,2282338.32,1431229.0,809845.0
Asia,Mongolia,Personal Care,Offline,C,2014-02-14,SYN001150,2014-02-27,5056,83.03,56.7,419799.68,302763.82,116707.34
Central America and the Caribbean,Costa Rica,Personal Care,Offline,L,2017-05-04,SYN001151,2017-05-22,6356,88.99,55.72,565620.44,361725.41,146739.65
Asia,Turkmenistan,Office Supplies,Online,M,2013-04-21,SYN001152,2013-05-26,4833,668.55,537.0,3231102.15,2483177.3,619213.01
Europe,Austria,Cosmetics,Offline,H,2015-02-17,SYN001153,2015-03-01,2977,437.63,250.61,1302824.51,708119.26,524693.44
Central America and the Caribbean,Haiti,Cosmetics,Offline,H,2013-10-14,SYN001154,2013-11-22,1677,422.87,277.03,709152.99,448526.2,311987.03
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,2013-03-19,SYN001155,2013-03-22,4121,209.34,120.03,862690.14,472552.37,369362.0
North America,Mexico,Household,Offline,C,2014-11-06,SYN001156,2014-12-10,7121,768.61,498.74,5473271.8100000005,3501441.02,1145581.95
Central America and the Caribbean,Honduras,Snacks,Online,L,2016-06-27,SYN001157,2016-07-22,2113,147.49,97.68,311646.37,219062.0,110914.36
Europe,Spain,Household,Offline,L,2012-10-20,SYN001158,2012-12-03,4940,682.55,469.16,3371797.0,2114164.21,734216.19
Europe,Slovenia,Beverages,Offline,C,2016-10-20,SYN001159,2016-11-18,4982,44.92,31.36,223791.44,152588.97,77759.75
Europe,Russia,Office Supplies,Offline,L,2014-05-08,SYN001160,2014-05-01,1768,636.72,496.14,1125720.96,921108.22,223398.64
Middle East and North Africa,Lebanon,Clothes,Online,L,2012-09-24,SYN001161,2012-10-05,6709,102.97,35.78,690825.73,276864.52,554651.72
Sub-Saharan Africa,Senegal,Cereal,Online,H,2014-04-24,SYN001162,2014-06-02,6726,207.39,114.19,1394905.14,651418.25,592089.76
Sub-Saharan Africa,Niger,Personal Care,Online,H,2017-03-09,SYN001163,2017-03-29,3129,78.8,52.76,246565.19999999998,171576.62,72211.27
Sub-Saharan Africa,Zambia,Snacks,Online,L,2011-01-01,SYN001164,2010-12-29,4052,154.62,90.56,626520.24,372915.94,242177.53
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,H,2016-12-02,SYN001165,2016-12-20,926,642.7,574.06,595140.2000000001,487987.26,113457.0
Middle East and North Africa,Kuwait,Fruits,Online,M,2012-05-01,SYN001166,2012-05-13,534,9.13,7.62,4875.42,3555.41,1254.68
Asia,Myanmar,Household,Offline,H,2015-01-18,SYN001167,2015-02-22,7881,659.18,532.05,5194997.579999999,3833929.0,1271750.57
Sub-Saharan Africa,Mauritania,Office Supplies,Offline,C,2012-01-10,SYN001168,2012-01-10,1263,643.54,491.48,812791.0199999999,657991.63,166783.77
Middle East and North Africa,Pakistan,Cosmetics,Offline,L,2013-07-01,SYN001169,2013-08-13,9305,409.51,284.22,3810490.55,2581795.0,1669577.17
Sub-Saharan Africa,Niger,Personal Care,Online,H,2017-03-18,SYN001170,2017-04-02,3018,87.17,61.16,263079.06,190860.26,73238.01
Europe,Lithuania,Office Supplies,Offline,H,2010-10-24,SYN001171,2010-11-24,8194,680.23,528.77,5573804.62,4432480.76,1152410.73
Europe,Austria,Cosmetics,Offline,H,2015-02-27,SYN001172,2015-02-24,2898,447.03,259.3,1295492.94,767966.23,487487.46
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,H,2013-09-15,SYN001173,2013-10-19,7285,9.65,6.8,70300.25,51841.08,16834.86
Sub-Saharan Africa,Gabon,Personal Care,Offline,L,2012-07-01,SYN001174,2012-07-05,7956,84.25,63.49,670293.0,521458.62,220509.41
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,H,2016-12-11,SYN001175,2016-12-14,974,626.32,482.88,610035.68,502350.69,113071.0
Sub-Saharan Africa,Mauritania,Office Supplies,Offline,C,2012-01-04,SYN001176,2012-01-09,1173,726.32,527.62,851973.3600000001,662996.71,165910.07
Asia,Kyrgyzstan,Vegetables,Online,H,2011-06-21,SYN001177,2011-07-06,117,157.05,89.94,18374.850000000002,11207.45,7671.22
Australia and Oceania,New Zealand,Fruits,Online,H,2014-09-15,SYN001178,2014-09-29,2088,8.66,6.49,18082.08,14787.1,4806.21
Australia and Oceania,Fiji,Clothes,Offline,C,2010-06-23,SYN001179,2010-08-08,9998,118.39,38.5,1183663.22,347892.85,702317.59
Asia,Malaysia,Fruits,Offline,L,2011-11-09,SYN001180,2011-12-29,6443,9.23,6.96,59468.89,42173.94,15814.74
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,2013-03-19,SYN001181,2013-03-29,4380,200.94,115.05,880117.2,443796.35,334803.27
Sub-Saharan Africa,South Sudan,Personal Care,Offline,C,2013-12-29,SYN001182,2014-01-25,2252,78.22,57.37,176151.44,110382.71,54109.61
Sub-Saharan Africa,Djibouti,Snacks,Online,M,2017-02-24,SYN001183,2017-02-24,7652,163.14,87.39,1248347.2799999998,654042.99,461897.48
